,ANET,AXON,AXP,BK,CAH,CBRE,COR,EME,EQT,GILD,GS,JCI,KMI,MCK,MS,NDAQ,NI,PWR,RJF,STX,TPR,WDC,WELL,WMB,WSM
GS,0.00017694283442930617,0.0001532944782777782,0.00021117168228033823,0.00018583460326021683,6.720454223875538e-05,0.0001785294067494411,4.120672051094587e-05,0.00017921936414416075,0.00017316860955635344,5.1696762635457336e-05,0.0002992587260390134,0.00016850749891944764,0.00012161233535266884,3.889197988647985e-05,0.00026325608692627045,0.0001178322056210327,6.178611597260365e-05,0.00016772256711368677,0.00020717302691605584,0.00016931726033415256,0.00021022891920100152,0.0002138080915748858,8.217787932470765e-05,0.00011477036136148667,0.00019817546736126818
JCI,0.00018228800202966676,0.00017081983791574103,0.00017556892650657233,0.00013482893894295014,6.630034995241061e-05,0.00015309451519075003,4.4924627756794794e-05,0.00019664198700866954,0.00013891031997546047,5.443633075246636e-05,0.00016850749891944764,0.00030131649815706604,9.431162883215375e-05,3.7872243552032206e-05,0.00017868727051330047,0.00011813311830724966,6.81880748264688e-05,0.00019897278406735738,0.00016244694430922493,0.00016915921324483634,0.00020844063042409813,0.00021249820019076285,8.687012456873589e-05,9.453190466831523e-05,0.00019264735540066213
KMI,8.973462949690213e-05,6.57617129893622e-05,0.00011908010476365251,0.00010786077615015523,6.662587809775047e-05,0.00010307283330853209,5.477142102253812e-05,0.0001153722703839614,0.00023918285983912544,4.0555181809736496e-05,0.00012161233535266884,9.431162883215375e-05,0.00021289056858140817,5.008154187275186e-05,0.00012587760993526174,7.038541338599481e-05,7.935329727242506e-05,0.0001221950241429606,0.00011412507203112183,9.305075163270825e-05,0.00011110678477148428,0.00011528280956667315,8.644296605142879e-05,0.00018588974430922779,8.545338394324566e-05
MCK,2.7641203020139e-05,1.2857178281234242e-05,3.986378329467513e-05,4.612571565576416e-05,0.0001370854394006634,3.8219786047985275e-05,0.00013846829415978387,4.24113319626328e-05,6.883882514071336e-05,4.729831962282178e-05,3.889197988647985e-05,3.7872243552032206e-05,5.008154187275186e-05,0.00020853090550686316,4.0053962530783495e-05,3.7348328007657326e-05,4.487087370523941e-05,3.4386435049729605e-05,4.861574576667166e-05,2.2714029679413827e-05,1.137495850905501e-05,2.08175482699515e-05,4.7487745572566245e-05,5.0790228707971635e-05,1.4463691381883956e-05
MS,0.00018180380374918146,0.00014560645833625778,0.00022313256138370907,0.00019891179208452017,7.189378429622498e-05,0.00018588286012804895,4.3782509825019856e-05,0.0001805839747515548,0.0001820950412294287,5.4599258142629495e-05,0.00026325608692627045,0.00017868727051330047,0.00012587760993526174,4.0053962530783495e-05,0.0003250668114702576,0.00012162170902781673,6.90734453125136e-05,0.00017952517959287536,0.0002254125671963335,0.00017854298666560118,0.00022647012561304678,0.00021714316318714646,8.756238975195716e-05,0.00012071352376843515,0.00019648298854570267
NDAQ,0.00013002774311209763,0.00013188719231031835,0.00012248122409177554,0.0001018232664784066,5.6508639900796056e-05,0.0001339355265295531,3.7695861010220394e-05,9.937553982886644e-05,9.43136620416618e-05,5.711624107549461e-05,0.0001178322056210327,0.00011813311830724966,7.038541338599481e-05,3.7348328007657326e-05,0.00012162170902781673,0.00021165047071289943,6.490126475091743e-05,0.00012096084218142134,0.00012319163368798778,0.00011240315000868484,0.00012012008969418736,0.00012560871206972505,7.76811635186626e-05,6.730532726059013e-05,0.00013318262771664898
NI,3.634043117359498e-05,4.139337427004549e-05,6.976071260404203e-05,6.391409630073071e-05,5.2029669949975046e-05,9.033187734960265e-05,5.1253165121799885e-05,6.928678826503041e-05,9.68429408737898e-05,4.785111583504181e-05,6.178611597260365e-05,6.81880748264688e-05,7.935329727242506e-05,4.487087370523941e-05,6.90734453125136e-05,6.490126475091743e-05,0.0001675341406437547,7.066071423564174e-05,6.926445088445985e-05,4.0175879371683416e-05,6.024394417697839e-05,4.916925180705996e-05,9.246497188419697e-05,8.30360393204518e-05,4.432878932866306e-05
PWR,0.00028586298217753414,0.00020609302082015207,0.0001744530040899035,0.00013843389228894023,5.1455098828505636e-05,0.00016549744698197042,3.800559072277261e-05,0.00028620662771184204,0.0002033145815559453,2.8318029525567178e-05,0.00016772256711368677,0.00019897278406735738,0.0001221950241429606,3.4386435049729605e-05,0.00017952517959287536,0.00012096084218142134,7.066071423564174e-05,0.000470742356783704,0.00017033172748817307,0.00019007312095243846,0.0002198498739005172,0.0002414251398872734,9.447730202016304e-05,0.000128430532206839,0.00021298337236645896
RJF,0.00017382490059562978,0.0001403379201864609,0.00021457820658512004,0.0001860444513981031,7.328726481556775e-05,0.0001754767268452309,4.972084476277279e-05,0.00016896493695058864,0.00017295170978467496,5.91923677143143e-05,0.00020717302691605584,0.00016244694430922493,0.00011412507203112183,4.861574576667166e-05,0.0002254125671963335,0.00012319163368798778,6.926445088445985e-05,0.00017033172748817307,0.0003059068073731924,0.00014727456070451,0.00020771581147656845,0.0001905814998788963,8.442143125656122e-05,0.00011187910145023606,0.00017029910019004843
STX,0.00026868311125795915,0.00017433485620982705,0.00016940511511096486,0.00013520743898096682,6.025083090841505e-05,0.0001690549608435762,2.2106125952786322e-05,0.00018327722037770307,0.00017346562330315088,4.249103847241665e-05,0.00016931726033415256,0.00016915921324483634,9.305075163270825e-05,2.2714029679413827e-05,0.00017854298666560118,0.00011240315000868484,4.0175879371683416e-05,0.00019007312095243846,0.00014727456070451,0.000643223968411646,0.00023529474284089227,0.0005182911683728457,7.26340816270475e-05,9.592356985250539e-05,0.00024466300492905147
TPR,0.0002087823739585996,0.00022003150267092437,0.00022877524383778844,0.00017414641615086542,5.658578426698812e-05,0.00022458103336937525,1.8412282689542326e-05,0.00020577140598156346,0.0001715243291422052,5.936094592058375e-05,0.00021022891920100152,0.00020844063042409813,0.00011110678477148428,1.137495850905501e-05,0.00022647012561304678,0.00012012008969418736,6.024394417697839e-05,0.0002198498739005172,0.00020771581147656845,0.00023529474284089227,0.0006437382909498943,0.000280275895810456,9.697684375937236e-05,0.00011538303576297943,0.0003081163228672442
WDC,0.0003253511317597331,0.000206391656435458,0.00021295017139947125,0.0001631558651483333,6.448570657695794e-05,0.00019258172657992553,2.6678233623279902e-05,0.00023598316059273886,0.00022191792540312302,3.925024294724779e-05,0.0002138080915748858,0.00021249820019076285,0.00011528280956667315,2.08175482699515e-05,0.00021714316318714646,0.00012560871206972505,4.916925180705996e-05,0.0002414251398872734,0.0001905814998788963,0.0005182911683728457,0.000280275895810456,0.0007969998201206076,9.7577206014783e-05,0.00012206953516173276,0.0002639239540875711
WELL,6.0797010512760585e-05,6.443677996895412e-05,0.00010108944503933662,8.438676588393008e-05,5.785989567072564e-05,0.00012948599028258349,5.8653484561793816e-05,7.695086682052477e-05,9.847314378515246e-05,4.496525543630839e-05,8.217787932470765e-05,8.687012456873589e-05,8.644296605142879e-05,4.7487745572566245e-05,8.756238975195716e-05,7.76811635186626e-05,9.246497188419697e-05,9.447730202016304e-05,8.442143125656122e-05,7.26340816270475e-05,9.697684375937236e-05,9.7577206014783e-05,0.00023492121219297104,8.156276245271742e-05,7.158274138709648e-05
WMB,0.00010690689897298734,6.948240007259332e-05,0.00011803206013891922,0.00010048511939359593,6.838199513720087e-05,0.00010483155607082961,5.483984673857515e-05,0.00012234704091090997,0.00025593496364848255,3.904714303008442e-05,0.00011477036136148667,9.453190466831523e-05,0.00018588974430922779,5.0790228707971635e-05,0.00012071352376843515,6.730532726059013e-05,8.30360393204518e-05,0.000128430532206839,0.00011187910145023606,9.592356985250539e-05,0.00011538303576297943,0.00012206953516173276,8.156276245271742e-05,0.0002322908336853229,9.000867667859598e-05
WSM,0.00024769812694752115,0.00022351076585024805,0.000193975604680114,0.00015130654713223845,4.51759775158379e-05,0.00021404560546807127,2.7844149289221765e-05,0.0001871067959854185,0.0001566306605491219,5.946520421575493e-05,0.00019817546736126818,0.00019264735540066213,8.545338394324566e-05,1.4463691381883956e-05,0.00019648298854570267,0.00013318262771664898,4.432878932866306e-05,0.00021298337236645896,0.00017029910019004843,0.00024466300492905147,0.0003081163228672442,0.0002639239540875711,7.158274138709648e-05,9.000867667859598e-05,0.0008440855404593569
